OTUID	Sa.F.D.28	Sa.F.D.30	Sa.F.D.33	Sa.F.D.35	Sa.M.D.27	Sa.M.D.29	Sa.M.D.31	Sa.M.D.32	Sa.M.D.36	Sb.F.D.37	Sb.F.D.39	Sb.F.D.44	Sb.F.D.45	Sb.M.D.38	Sb.M.D.41	Sb.M.D.42	Sb.M.D.43	Sb.M.D.46	Sa.F.R.72	Sa.F.R.73	Sa.F.R.76	Sa.F.R.80	Sa.F.R.82	Sa.F.R.83	Sa.F.R.84	Sa.M.R.74	Sa.M.R.75	Sa.M.R.77	Sa.M.R.79	Sa.M.R.81	Sb.F.R.88	Sb.F.R.89	Sb.F.R.90	Sb.F.R.92	Sb.F.R.96	Sb.F.R.97	Sb.F.R.99	Sb.M.R.85	Sb.M.R.86	Sb.M.R.87	Sb.M.R.91	Sb.M.R.93	Sb.M.R.94	Sb.M.R.95	Sb.M.R.98
36ef618fcc3c053e718da10f33f70dc9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caa652ec9abe3dc9a6a78d0b0ae32983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0
66f7706f6b80518817ebabf12540b752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	12	20	0	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
d1ff2598cb75569c8d95f2f978cbd98f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e5e3b94e9969d40a06252d41ebfd020	24	0	0	0	0	0	0	0	6	6	0	0	0	31	6	0	0	0	0	0	0	0	0	15	0	0	13	47	18	0	21	35	0	41	0	0	23	0	0	0	0	0	0	0	12
4562d07f79026608be08138dd4a1d1b0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
6c029f41c973b28f9573eb2977583452	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	74	0	0	4	27	0	0	0	0	7	0	0	0	6	0	0	0	0
4f19e9b7154e33a650b0cab4dda15abf	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	6	5	0	0	0
cdcd7881dd554b7b792ba95f6c2a1194	0	0	0	0	0	0	109	0	119	0	124	56	67	47	0	0	0	26	0	0	17	13	29	31	0	0	88	0	181	28	117	79	0	400	49	18	377	54	16	499	352	33	207	128	24
e75ece18a699e83a9177e60e5e4863cb	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6e1a1f6d3347aa4bbc3cd77b15e4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
69b6fadc2fe52e297446d13d9b5122db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9972a9a96d1880fcd76165d96b30c4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c1a55567adeff0a943532a12dd7851a1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
915ac62e3d403cc1dd914291ccdaf1d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
767550ef24c003ce8b34342d112c377f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee1e3db82137eaecdc9bad26462bf63f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	31	0	0	0	10	0	0	0	10	26	0	16	0
32019c66790172c71844e2b0a681de98	215	0	0	36	38	80	53	41	326	25	14	74	0	0	0	0	4	26	56	157	0	317	215	138	0	368	60	454	116	64	101	83	161	0	34	4	187	33	0	0	0	32	0	249	120
9e2083a304c477b199f4d231f19861e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
